"Position,""Track Name"",Artist,Streams,URL"
"121,""m y . l i f e (with 21 Savage & Morray)"",""J. Cole"",247958,https://open.spotify.com/track/1D3z6HTiQsNmZxjl7F7eoG"
"122,Teenagers,""My Chemical Romance"",247802,https://open.spotify.com/track/7j31rVgGX9Q2blT92VBEA0"
"123,""SUVs (Black on Black)"",""Jack Harlow"",247676,https://open.spotify.com/track/1MIGkQxcdAt2lDx6ySpsc5"
"124,Streets,""Doja Cat"",246666,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf"
"125,""Todo De Ti"",""Rauw Alejandro"",246090,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9"
"126,""Cigarette Daydreams"",""Cage The Elephant"",245705,https://open.spotify.com/track/0lkQOB949M2gLyut86aJ1b"
"127,""REPEAT IT (with Gunna)"",""Lil Tecca"",245041,https://open.spotify.com/track/4s6vwFgPdCtidpEw8KuQT6"
"128,""Jocelyn Flores"",XXXTENTACION,244618,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96"
"129,""Buy Dirt"",""Jordan Davis"",244248,https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60"
"130,goosebumps,""Travis Scott"",242598,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2"
"131,""SCOOP (feat. Doja Cat)"",""Lil Nas X"",241864,https://open.spotify.com/track/6bpq1jGkVz66Q3LYeoXdjZ"
132,Classic,MKTO,241749,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg
"133,""Wishing Well"",""Juice WRLD"",241708,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv"
"134,""I GUESS I'M IN LOVE"",""Clinton Kane"",241564,https://open.spotify.com/track/1is8gU4RVcN4J8xItxWoOY"
"135,""Money Trees"",""Kendrick Lamar"",241029,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4"
"136,""range brothers (with Kendrick Lamar)"",""Baby Keem"",240158,https://open.spotify.com/track/0UTyLmkQgPOEIz95OVAJTR"
"137,""Collard Greens"",""ScHoolboy Q"",240106,https://open.spotify.com/track/0zO8ctW0UiuOefR87OeJOZ"
"138,""Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track"",""Jack Harlow"",238417,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2"
"139,""Lemonade (feat. Gunna, Don Toliver & NAV)"",""Internet Money"",237762,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX"
"140,""Intro (Hate On Me)"",""Meek Mill"",235935,https://open.spotify.com/track/4s7TIubkdsgdtDEDFEAYVL"
"141,""Someone You Loved"",""Lewis Capaldi"",235393,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf"
"142,""Astronaut In The Ocean"",""Masked Wolf"",234545,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC"
"143,Robbery,""Juice WRLD"",233386,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ"
"144,""In The Bible (with Lil Durk & Giveon)"",Drake,232690,https://open.spotify.com/track/61S79KIVA4I9FXbnsylEHT"
"145,""See You Again (feat. Kali Uchis)"",""Tyler, The Creator"",230072,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB"
"146,""p r i d e . i s . t h e . d e v i l (with Lil Baby)"",""J. Cole"",229322,https://open.spotify.com/track/5W8jRrZ6tWrTrqnKRtIQBf"
"147,""For The Night (feat. Lil Baby & DaBaby)"",""Pop Smoke"",227614,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S"
"148,""Forever After All"",""Luke Combs"",227401,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew"
"149,""edamame (feat. Rich Brian)"",bbno$,225884,https://open.spotify.com/track/1uMHCAyGmHqyygoNRuo7MV"
"150,""you broke me first"",""Tate McRae"",225644,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR"
"151,""Washing Machine Heart"",Mitski,224055,https://open.spotify.com/track/3jjsRKEsF42ccXf8kWR3nu"
"152,""Everybody Talks"",""Neon Trees"",223853,https://open.spotify.com/track/2iUmqdfGZcHIhS3b9E9EWq"
"153,""Ready (feat. Gunna)"",""Lil Baby"",223426,https://open.spotify.com/track/4F6yN5FsFW10Ucx7cLCzBh"
"154,""The Way Life Goes (feat. Oh Wonder)"",""Lil Uzi Vert"",223417,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc"
"155,""Calling My Phone"",""Lil Tjay"",223409,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE"
"156,""Smells Like Teen Spirit"",Nirvana,223159,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf"
"157,""N 2 Deep"",Drake,222662,https://open.spotify.com/track/34D6FJysnQioVingDKufuf"
"158,""WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign)"",""Tyler, The Creator"",222291,https://open.spotify.com/track/5B0kgjHULYJhAQkK5XsMoC"
"159,""Blue Notes 2 (feat. Lil Uzi Vert)"",""Meek Mill"",221021,https://open.spotify.com/track/2kdhiombBoiHjvSKG3EI0m"
"160,""MIDDLE CHILD"",""J. Cole"",220228,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8"
"161,""Pursuit Of Happiness (Nightmare)"",""Kid Cudi"",218948,https://open.spotify.com/track/4kTLpAbhuEGHAAdDjOIWaa"
"162,""Matt Hardy 999 (feat. Juice WRLD)"",""Trippie Redd"",218781,https://open.spotify.com/track/1HsOTiVqdN7PB1zOS2bcsO"
"163,""Before You Go"",""Lewis Capaldi"",218598,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP"
"164,""Godzilla (feat. Juice WRLD)"",Eminem,217373,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ"
"165,""Drip Too Hard (Lil Baby & Gunna)"",""Lil Baby"",216822,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE"
"166,""Laugh Now Cry Later (feat. Lil Durk)"",Drake,216144,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI"
"167,""Whiskey Glasses"",""Morgan Wallen"",216075,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00"
"168,""WITHOUT YOU"",""The Kid LAROI"",215344,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA"
"169,""lovely (with Khalid)"",""Billie Eilish"",215235,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4"
"170,""Chasing After You (with Maren Morris)"",""Ryan Hurd"",214425,https://open.spotify.com/track/1ZIKpMTRPqhwAoVXWY3tXI"
"171,""Tongue Tied"",Grouplove,213791,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N"
"172,""Adore You"",""Harry Styles"",213390,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7"
"173,""Wasted On You"",""Morgan Wallen"",212824,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3"
"174,""Looking Out for You"",""Joy Again"",212740,https://open.spotify.com/track/3jfZ9M23l0L7RxzYMTgBTv"
"175,""Save Your Tears"",""The Weeknd"",212708,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g"
"176,""Papi’s Home"",Drake,212600,https://open.spotify.com/track/6jy9yJfgCsMHdu2Oz4BGKX"
"177,""Love Again"",""Dua Lipa"",212282,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB"
"178,""The Less I Know The Better"",""Tame Impala"",211216,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ"
"179,""Tyler Herro"",""Jack Harlow"",211062,https://open.spotify.com/track/3w1WjD2zJqjBjDz5fwqQPJ"
"180,""I Can't Handle Change"",Roar,210646,https://open.spotify.com/track/0I1eFRytp4XRhLCjT6tZm7"
"181,""Ball If I Want To"",DaBaby,210118,https://open.spotify.com/track/0cu0rhnlCnJ7JIeHRiLpj3"
"182,""The Hills"",""The Weeknd"",210019,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB"
"183,""The Night We Met"",""Lord Huron"",210009,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU"
184,Yellow,Coldplay,209152,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
"185,Heartless,""Kanye West"",209139,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5"
"186,""Chosen (feat. Ty Dolla $ign)"",Blxst,208812,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ"
"187,""Ric Flair Drip (& Metro Boomin)"",Offset,208443,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR"
"188,""Fuck Love (feat. Trippie Redd)"",XXXTENTACION,207969,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2"
"189,""ROCKSTAR (feat. Roddy Ricch)"",DaBaby,207052,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4"
"190,""If I Didn't Love You"",""Jason Aldean"",207039,https://open.spotify.com/track/5f3MXmTmstozFg0BH1yPUk"
"191,breadwinner,""Kacey Musgraves"",206837,https://open.spotify.com/track/2stbjvpFujerfDUuUUPX7o"
"192,""In Da Getto"",""J Balvin"",206800,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn"
"193,""'Till I Collapse"",Eminem,206789,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS"
"194,""Kilby Girl"",""The Backseat Lovers"",206317,https://open.spotify.com/track/1170VohRSx6GwE6QDCHPPH"
"195,""What You Know Bout Love"",""Pop Smoke"",205654,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y"
"196,""Best Friend (feat. Doja Cat)"",Saweetie,205646,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp"
"197,""Are You Bored Yet? (feat. Clairo)"",Wallows,205158,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm"
"198,""Talking to the Moon"",""Bruno Mars"",205008,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU"
"199,""Mr. Rager"",""Kid Cudi"",204733,https://open.spotify.com/track/2ncLdwTd8qzkxiJjlbiOgC"
"200,Falling,""Harry Styles"",204471,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp"
