,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
73,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,2133153,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
74,"Good Days",SZA,2120994,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
75,Pain,PinkPantheress,2102490,https://open.spotify.com/track/7CIERzyqIwLVKGp00YbHRO
76,Loverboy,A-Wall,2095366,https://open.spotify.com/track/0qXP5fMhxGzxALOkXYUxfP
77,"She Knows (feat. Amber Coffman & Cults)","J. Cole",2090373,https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW
78,"Motley Crew","Post Malone",2086229,https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed
79,"t r a n s p a r e n t s o u l feat. Travis Barker",WILLOW,2085011,https://open.spotify.com/track/5JKnYZOhSP7rOK0jPYcCjV
80,brutal,"Olivia Rodrigo",2082992,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
81,telepatía,"Kali Uchis",2071860,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
82,"In The Bible (with Lil Durk & Giveon)",Drake,2070831,https://open.spotify.com/track/61S79KIVA4I9FXbnsylEHT
83,YKWIM?,"Yot Club",2070560,https://open.spotify.com/track/2vWBUC9djv6BtiGlmKiQaH
84,"Martin & Gina","Polo G",2063429,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
85,"jealousy, jealousy","Olivia Rodrigo",2061862,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
86,"Rumors (feat. Cardi B)",Lizzo,2057723,https://open.spotify.com/track/6KgtcmCF9Ky68XC7ezxl3s
87,Volví,Aventura,2053328,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
88,"Mood (feat. iann dior)",24kGoldn,2050016,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
89,"Mr. Brightside","The Killers",2047736,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
90,"LOT OF ME","Lil Tecca",2044441,https://open.spotify.com/track/2ZXxRC6V6AXzMdbLQZMHSB
91,"The Spins","Mac Miller",2043998,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
92,"20 Min","Lil Uzi Vert",2037608,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
