title,artist,songid,streams,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Don't Be Shy,"Tiësto, KAROL G",0bI7K9Becu2dtXK1Q3cZNB,1592328,global,0.77,0.787,11.0,-3.748,0.0,0.0583,0.198,0.0,0.262,0.513,119.986,140500.0,4.0
Get Into It (Yuh),Doja Cat,0W6I02J9xcqK8MtSeosEXb,1540222,global,0.912,0.655,8.0,-6.029,0.0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,138293.0,4.0
Girls Want Girls (with Lil Baby),Drake,37Nqx7iavZpotJSDXZWbJ3,1527759,global,0.767,0.438,7.0,-8.726,0.0,0.29,0.181,0.0,0.142,0.381,86.975,221980.0,4.0
2055,Sleepy Hallow,4XvcHTUfIlWfyJTRG0aqlo,1514520,global,0.829,0.512,6.0,-5.865,0.0,0.187,0.492,0.0,0.12,0.638,80.511,123987.0,4.0
Butter,BTS,2bgTY4UwhfBYhGT4HUYStN,1512112,global,0.759,0.459,8.0,-5.187,1.0,0.0948,0.00323,0.0,0.0906,0.695,109.997,164442.0,4.0
Bored,Billie Eilish,04sN26COy28wTXYj3dMoiZ,1494084,global,0.614,0.318,7.0,-12.695,1.0,0.0478,0.896,0.00239,0.0795,0.112,119.959,180933.0,4.0
Cúrame,Rauw Alejandro,3PwRuzdphgedcWVUOVYJ7I,1480907,global,0.765,0.625,9.0,-3.599,0.0,0.0548,0.584,0.00111,0.112,0.262,102.101,164706.0,4.0
Hurricane,Kanye West,6Hfu9sc7jvv6coyy2LlzBF,1469479,global,0.587,0.561,0.0,-6.569,1.0,0.146,0.0466,0.0,0.109,0.351,80.009,243187.0,4.0
OUT OUT (feat. Charli XCX & Saweetie),"Joel Corry, Jax Jones",6Dy1jexKYriXAVG6evyUTJ,1460454,global,0.787,0.833,8.0,-4.403,1.0,0.0478,0.018,0.00747,0.0374,0.796,123.97,162604.0,4.0
Sweater Weather,The Neighbourhood,2QjOHCTQ1Jl3zawyYOpxh6,1445399,global,0.612,0.807,10.0,-2.81,1.0,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400.0,4.0
Sobrio,Maluma,4HzqWEdAbzcVFDv0pvxV4w,1428825,global,0.762,0.77,5.0,-2.758,1.0,0.223,0.138,0.0,0.15,0.631,177.998,201181.0,4.0
deja vu,Olivia Rodrigo,6HU7h9RYOaPRFeh0R3UeAr,1416325,global,0.442,0.612,2.0,-7.222,1.0,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507.0,4.0
AM Remix,"Nio Garcia, J Balvin, Bad Bunny",05bfbizlM5AX6Mf1RRyMho,1389029,global,0.743,0.655,6.0,-5.015,0.0,0.159,0.114,0.0,0.0764,0.785,172.031,261335.0,4.0
Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,1385374,global,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,174000.0,4.0
Volando - Remix,"Mora, Bad Bunny, Sech",0G2zPzWqVjR68iNPmx2TBe,1378906,global,0.659,0.688,6.0,-4.649,1.0,0.0673,0.207,0.0,0.113,0.632,153.979,273474.0,4.0
Ley Seca,"Jhay Cortez, Anuel AA",3JCaq3KDSROg3TXhdiDa9n,1374654,global,0.759,0.842,8.0,-3.758,1.0,0.096,0.101,0.0,0.134,0.584,105.059,263253.0,4.0
The Feels,TWICE,6pgqZ7Iw4LfHlfgWWaRFSY,1373719,global,0.808,0.903,9.0,-2.179,1.0,0.0729,0.0899,0.0,0.0816,0.922,120.044,198053.0,4.0
Nostálgico,"Rvssian, Rauw Alejandro, Chris Brown",2BEcap3xJtmiPaHKyfQi4e,1349939,global,0.734,0.846,9.0,-3.425,0.0,0.0489,0.166,1.74e-06,0.235,0.604,98.026,209884.0,4.0
Don't Go Yet,Camila Cabello,1058fW9H3fZA6QjYCdOBad,1307548,global,0.666,0.796,10.0,-6.967,0.0,0.103,0.0492,0.0,0.0442,0.61,110.108,164842.0,4.0
family ties (with Kendrick Lamar),BaKeem,3QFInJAm9eyaho5vBzxInN,1288226,global,0.711,0.611,1.0,-5.453,1.0,0.33,0.00588,0.0,0.23,0.144,134.093,252262.0,4.0
París,Ingratax,4bF2y8rR7GUjrd5LNEvej3,1275942,global,0.57,0.455,1.0,-5.748,0.0,0.0996,0.441,0.000746,0.0654,0.399,167.933,151429.0,4.0
